id_pintu_air,kode_stasiun,nama_pintu_air,lokasi,sort_number,siaga1,siaga2,siaga3,siaga4,latitude,longitude,file_export,record_status,created_date,created_by,last_updated_date,last_updated_by,tanggal,tinggi_air,tinggi_air_sebelumnya,status_siaga,tma_unaltered
162,36,Pompa Pasar Ikan (Baru),Laut,11,2500,2000,1700,1,-6.126264,106.809638,Jakarta Utara,1,2023-11-23T00:00:00+07:00,1,2025-06-23T07:28:34.37+07:00,27,2025-10-09T22:04:00+07:00,1610,1623,Status : Normal,1619
167,41,Rumah Pompa Pluit (Baru),Waduk Pluit,12,450,0,-500,1,-6.109552,106.797342,Jakarta Utara,1,2023-11-23T00:00:00+07:00,1,2024-02-05T12:29:31.363+07:00,1,2025-10-09T22:00:00+07:00,-1600,-1606,Status : Normal,-1609
108,02,P.S. Pesanggrahan,Pesanggrahan,12,3500,2500,1500,1,-6.397111000,106.771825000,Depok,1,undefined,undefined,2025-08-31T15:03:54.547+07:00,27,2025-10-09T22:00:00+07:00,890,890,Status : Normal,890
158,32,P.S. Angke Hulu (Baru),Angke,14,3000,2500,1500,1,-6.218026,106.694077,Ciledug,1,2023-11-23T00:00:00+07:00,1,2025-06-23T08:20:11.21+07:00,27,2025-10-09T22:00:00+07:00,1040,1012,Status : Normal,1048
150,26,P.S. Sunter Hulu,Sunter,15,2500,2000,1400,1,-6.317920000,106.920901000,Jakarta Timur,1,2013-02-28T11:48:19.91+07:00,1,2025-06-23T08:28:54.087+07:00,27,2025-10-09T21:50:00+07:00,860,863,Status : Normal,865
161,35,P.A. Pulo gadung (Baru),Sunter,16,7700,7000,5500,1,-6.1910001,106.904195,Jakarta Timur,1,2023-11-23T00:00:00+07:00,1,2024-02-05T12:26:59.557+07:00,1,2025-10-09T22:04:00+07:00,3240,3244,Status : Normal,3243
164,38,Pompa Yos Sudarso (Baru),Sunter Timur,17,2500,2000,1400,1,-6.154855,106.886326,Jakarta Utara,1,2023-11-23T00:00:00+07:00,1,2024-02-05T12:28:16.197+07:00,1,2025-10-09T22:00:00+07:00,100,149,Status : Normal,106
169,42,P.A. Kaliduri (Baru),Kali Duri,19,3200,2700,2200,1,-6.142445,106.790185,Jakarta Utara,1,2023-11-23T00:00:00+07:00,1,2024-02-05T12:40:12.087+07:00,1,2025-10-09T22:04:00+07:00,1660,1662,Status : Normal,1662
172,45,P.A. Istiqlal (Baru),Ciliwung,20,3500,3000,2500,1,-6.168284,106.831393,Jakarta Pusat,1,2023-11-23T00:00:00+07:00,1,2024-02-05T12:32:34.713+07:00,1,2025-10-09T22:00:00+07:00,1110,1117,Status : Normal,1117
171,44,P.A. Jembatan Merah (Baru),Ciliwung,21,2500,2000,1500,1,-6.148949,106.834232,Jakarta Pusat,1,2023-11-23T00:00:00+07:00,1,2024-02-05T12:32:17.063+07:00,1,2025-10-09T22:04:00+07:00,930,933,Status : Normal,932
170,43,P.A. Ancol Flushing (Baru),Ciliwung,22,2200,1900,1800,1600,-6.130054,106.831272,Jakarta Utara,1,2023-11-23T00:00:00+07:00,1,2025-07-08T13:29:57.997+07:00,27,2025-10-09T22:00:00+07:00,1600,1598,Status : Normal,1601
178,47,P.A. Hek Kramat Jati (Baru),Kali Baru Timur,23,3000,2500,2000,1,-6.28783,106.870729,Jakarta Utara,1,2023-11-23T00:00:00+07:00,1,2024-02-05T12:33:06.873+07:00,1,2025-10-09T22:00:00+07:00,2250,2265,Status : Siaga 3,2257
107,25,P.A. Cengkareng Drain,Cengkareng,24,3100,2700,1900,1,-6.165576979919189,106.74858453075363,Jakarta Barat,1,undefined,1,2025-03-18T10:32:04.063+07:00,27,2025-10-09T22:00:00+07:00,2030,2038,Status : Siaga 3,2037
179,48,Pompa Kamal Muara (Bubble),Kali Kamal,25,3000,2500,2000,1,-6.093938,106.721842,Jakarta Utara,1,2023-12-06T00:00:00+07:00,1,2025-04-23T11:38:36.583+07:00,51,2025-10-08T00:12:56+07:00,80,35,Status : Normal,81
181,50,Pompa Kali Asin (Bubble),Kali Angke,26,3000,2500,2000,1,-6.110667,106.774083,Jakarta Utara,1,2023-12-06T00:00:00+07:00,1,2024-02-05T13:03:30.563+07:00,1,2025-10-08T00:08:24+07:00,100,96,Status : Normal,104
184,52,Pompa Lagoa (Bubble),Kali Sunter,27,3000,2500,2000,1,-6.110317,106.906947,Jakarta Utara,1,2023-12-06T00:00:00+07:00,1,2025-06-16T20:40:02.417+07:00,27,2025-10-09T22:01:58+07:00,-80,-64,Status : Normal,-80
187,54,Pompa Cilincing (Bubble),Kali Rawa Malang,28,3000,2500,2000,1,-6.100906,106.940361,Jakarta Utara,1,2023-12-06T00:00:00+07:00,1,2024-02-05T13:03:55.03+07:00,1,2025-10-08T00:12:00+07:00,20,46,Status : Normal,28
